cohortId,cohortName,certainty,tp,fp,tn,fn,sensitivity,sensitivityLb,sensitivityUb,specificity,specificityLb,specificityUb,specificityOverall,specificityOverallLb,specificityOverallUb,ppv,ppvLb,ppvUb,auc,kappa,prevalence,prevalenceOverall
1796887,[Phenotype Aphril] 001 - Acute First Myocardial infarction - 01 diagnosis only,all,511,200,8897,264,0.6593548387096774,0.6247856072502012,0.6927058879749539,0.9780147301308123,0.9747889327879007,0.9809291213251375,0.9964963299055761,0.9959766982301123,0.9969644200255137,0.7187060478199718,0.684091663213493,0.7514938899613225,0.8186847844202448,0.66238980664579306,0.0893,0.013967413
1796888,[Phenotype Aphril] 002 - Acute First Myocardial infarction - 01 diagnosis 02 complications,all,511,200,8896,263,0.6602067183462532,0.6256313145068012,0.6935558109659732,0.9780123131046614,0.9747861656979471,0.9809270216985648,0.99649590020323775,0.9959762049270156,0.9969640476472152,0.7187060478199718,0.684091663213493,0.7514938899613225,0.8191095157254573,0.6629019287089817,0.0893,0.013967413
1796889,[Phenotype Aphril] 003 - Acute First Myocardial infarction - 01 diagnosis 02 complications - v2x,all,486,120,8976,301,0.6175349428208387,0.5825567050508673,0.6516290618498144,0.9868073878627969,0.984245287537593,0.9890502357908356,0.997913333797037,0.9975053684995344,0.9982696527164663,0.801980198019802,0.7679867995244327,0.8329981375472312,0.8021711653418178,0.6752761903275344,0.0893,0.013967413
1796890,[Phenotype Aphril] 004 - Acute First Myocardial infarction - 01 diagnosis 02 complications - v3,all,0,0,9107,792,0,0,0.004646845926172262,1,0.9995950222415043,1,1,0.9999366464130355,1,NA,NA,NA,0.5,0,0.0893,0.013967413
1796891,[Phenotype Aphril] 005 - Acute First Myocardial infarction - 01 diagnosis 02 complications - v4,all,201,9,9098,591,0.2537878787878788,0.22381223067514097,0.285608832162511,0.9990117492039091,0.9981248248162191,0.9995480123901903,0.9998452996888805,0.9997063510264421,0.9999292588049752,0.9571428571428572,0.9202053090730431,0.9802185178140927,0.626399813995894,0.38041914185015613,0.0893,0.013967413
1796892,[Phenotype Aphril] 006 - Acute First Myocardial infarction - 01 diagnosis 02 complications - v5,all,367,45,9061,424,0.4639696586599241,0.42877401169606144,0.49943478570707733,0.9950582033823853,0.9933930145914188,0.9963932037621207,0.9992238167517593,0.9989615420281855,0.9994337920262044,0.8907766990291263,0.8565888732260711,0.9192083811606049,0.7295139310211547,0.5875629658938574,0.0893,0.013967413
1796893,"[Phenotype Aphril] 007 - Acute First Myocardial infarction - 05 Symptoms, 03 Diag Proc, 04 Th Intvn",all,57,24,9038,707,0.07460732984293193,0.05699355651089115,0.0955847353167415,0.9973515780180976,0.9960619046056156,0.9983023916755533,0.9995848325491281,0.9993823263110992,0.9997339768396115,0.7037037037037037,0.5919117485456062,0.800070602033106,0.5359794539305147,0.12182068617451916,0.0893,0.013967413
1796894,[Phenotype Aphril] 008 - Acute First Myocardial infarction - 6D,all,479,139,8913,292,0.6212710765239948,0.5859718395100336,0.6556389259082445,0.9846442775077331,0.9818941270419841,0.9870757036363789,0.9975666970100133,0.9971275356566671,0.9979540081831509,0.7750809061488673,0.7400799342191462,0.8074286764485938,0.802957677015864,0.6664053830724003,0.0893,0.013967413
1796895,[Phenotype Aphril] 009 - Acute First Myocardial infarction - 6D - v2,all,360,112,8957,412,0.46632124352331605,0.43066983451014035,0.5022308031231351,0.9876502370713419,0.9851587174915994,0.9898206740962252,0.9980480323468925,0.9976517417881675,0.9983924926905083,0.7627118644067796,0.721694232605952,0.8004017477746309,0.726985740297329,0.5521159799733114,0.0893,0.013967413
1796896,[Phenotype Aphril] 010 - Acute First Myocardial infarction - 6D - no inpt,all,503,217,8835,255,0.6635883905013192,0.6287064572654396,0.6971913404126111,0.976027397260274,0.9726636113502818,0.9790798113016151,0.9961730419907235,0.9956297516331627,0.9966645264972506,0.6986111111111111,0.663634806362787,0.7319505407506346,0.8198078938807967,0.6546511471800455,0.0893,0.013967413
