conceptId,conceptName,vocabularyId,conceptSetName,target
312327,Acute myocardial infarction,SNOMED,doi,Disease of interest
438172,Atrial septal defect due to and following acute myocardial infarction,SNOMED,complications,Disease of interest
321318,Angina pectoris,SNOMED,alternativeDiagnosis,Disease of interest
440417,Pulmonary embolism,SNOMED,alternativeDiagnosis,Disease of interest
317585,Aortic aneurysm,SNOMED,alternativeDiagnosis,Disease of interest
314383,Myocarditis,SNOMED,alternativeDiagnosis,Disease of interest
318800,Gastroesophageal reflux disease,SNOMED,alternativeDiagnosis,Disease of interest
30753,Esophagitis,SNOMED,alternativeDiagnosis,Disease of interest
134681,Diffuse spasm of esophagus,SNOMED,alternativeDiagnosis,Disease of interest
253796,Pneumothorax,SNOMED,alternativeDiagnosis,Disease of interest
4057432,Mediastinal emphysema,SNOMED,alternativeDiagnosis,Disease of interest
4192640,Pancreatitis,SNOMED,alternativeDiagnosis,Disease of interest
4016837,Chondrocostal joint sprain,SNOMED,alternativeDiagnosis,Disease of interest
4021498,Panic attack,SNOMED,alternativeDiagnosis,Disease of interest
255848,Pneumonia,SNOMED,alternativeDiagnosis,Disease of interest
40479589,Takotsubo cardiomyopathy,SNOMED,alternativeDiagnosis,Disease of interest
4127089,Coronary artery spasm,SNOMED,alternativeDiagnosis,Disease of interest
312927,Acute cor pulmonale,SNOMED,alternativeDiagnosis,Disease of interest
40480461,Infarction of lung due to iatrogenic pulmonary embolism,SNOMED,alternativeDiagnosis,Disease of interest
46272492,Dissection of artery,SNOMED,alternativeDiagnosis,Disease of interest
258449,Hemopericardium,SNOMED,alternativeDiagnosis,Disease of interest
4138837,Pericarditis,SNOMED,alternativeDiagnosis,Disease of interest
318450,Cardiac tamponade,SNOMED,alternativeDiagnosis,Disease of interest
4091509,Esophageal reflux finding,SNOMED,alternativeDiagnosis,Disease of interest
201061,Diaphragmatic hernia,SNOMED,alternativeDiagnosis,Disease of interest
201340,Gastritis,SNOMED,alternativeDiagnosis,Disease of interest
4027663,Peptic ulcer,SNOMED,alternativeDiagnosis,Disease of interest
318186,Achalasia of esophagus,SNOMED,alternativeDiagnosis,Disease of interest
43020567,Air leaking from lung,SNOMED,alternativeDiagnosis,Disease of interest
4238808,Empyema of pleura,SNOMED,alternativeDiagnosis,Disease of interest
4135466,Hemothorax,SNOMED,alternativeDiagnosis,Disease of interest
441607,Abscess of mediastinum,SNOMED,alternativeDiagnosis,Disease of interest
4189294,Inflammatory disorder of mediastinum,SNOMED,alternativeDiagnosis,Disease of interest
4049458,Acute necrosis of pancreas,SNOMED,alternativeDiagnosis,Disease of interest
4176945,Inflammatory disorder of cartilage,SNOMED,alternativeDiagnosis,Disease of interest
4145627,Biliary calculus,SNOMED,alternativeDiagnosis,Disease of interest
192956,Cholecystitis,SNOMED,alternativeDiagnosis,Disease of interest
4267297,Acute cholangitis,SNOMED,alternativeDiagnosis,Disease of interest
442077,Anxiety disorder,SNOMED,alternativeDiagnosis,Disease of interest
436339,Bacterial infection caused by Klebsiella pneumoniae,SNOMED,alternativeDiagnosis,Disease of interest
4231983,Infection caused by Mycoplasma pneumoniae,SNOMED,alternativeDiagnosis,Disease of interest
43020424,Hypertensive emergency,SNOMED,alternativeDiagnosis,Disease of interest
4034235,Tight chest,SNOMED,symptoms,Disease of interest
4090431,Discomfort,SNOMED,symptoms,Disease of interest
439418,Indigestion,SNOMED,symptoms,Disease of interest
194491,Tenderness of epigastric region,SNOMED,symptoms,Disease of interest
4041664,Difficulty breathing,SNOMED,symptoms,Disease of interest
4203638,Excessive sweating,SNOMED,symptoms,Disease of interest
4181178,Night sweats,SNOMED,symptoms,Disease of interest
4059005,Sweating symptom,SNOMED,symptoms,Disease of interest
31967,Nausea,SNOMED,symptoms,Disease of interest
4101344,Finding of vomiting,SNOMED,symptoms,Disease of interest
315078,Palpitations,SNOMED,symptoms,Disease of interest
4263255,Irregular heart beat,SNOMED,symptoms,Disease of interest
4223659,Fatigue,SNOMED,symptoms,Disease of interest
4223938,Dizziness,SNOMED,symptoms,Disease of interest
4229392,Giddiness,SNOMED,symptoms,Disease of interest
441542,Anxiety,SNOMED,symptoms,Disease of interest
444070,Tachycardia,SNOMED,symptoms,Disease of interest
4272240,Malaise,SNOMED,symptoms,Disease of interest
4329041,Pain,SNOMED,symptoms,Disease of interest
376961,Disturbance of consciousness,SNOMED,symptoms,Disease of interest
4034235,Tight chest,SNOMED,symptoms,Alternative diagnoses
439418,Indigestion,SNOMED,symptoms,Alternative diagnoses
4041664,Difficulty breathing,SNOMED,symptoms,Alternative diagnoses
315078,Palpitations,SNOMED,symptoms,Alternative diagnoses
4223938,Dizziness,SNOMED,symptoms,Alternative diagnoses
4090431,Discomfort,SNOMED,symptoms,Alternative diagnoses
4229392,Giddiness,SNOMED,symptoms,Alternative diagnoses
4203638,Excessive sweating,SNOMED,symptoms,Alternative diagnoses
4181178,Night sweats,SNOMED,symptoms,Alternative diagnoses
4059005,Sweating symptom,SNOMED,symptoms,Alternative diagnoses
31967,Nausea,SNOMED,symptoms,Alternative diagnoses
4101344,Finding of vomiting,SNOMED,symptoms,Alternative diagnoses
254761,Cough,SNOMED,symptoms,Alternative diagnoses
4011766,Feeling feverish,SNOMED,symptoms,Alternative diagnoses
441542,Anxiety,SNOMED,symptoms,Alternative diagnoses
436817,Feeling nervous,SNOMED,symptoms,Alternative diagnoses
316814,Hyperventilation,SNOMED,symptoms,Alternative diagnoses
4086746,Feeling agitated,SNOMED,symptoms,Alternative diagnoses
79908,Muscle weakness,SNOMED,symptoms,Alternative diagnoses
4223659,Fatigue,SNOMED,symptoms,Alternative diagnoses
46271381,Digestive system reflux,SNOMED,symptoms,Alternative diagnoses
4147190,Gastrointestinal symptom,SNOMED,symptoms,Alternative diagnoses
4023572,Abdominal bloating,SNOMED,symptoms,Alternative diagnoses
4152351,"Abdominal distension, gaseous",SNOMED,symptoms,Alternative diagnoses
194475,Hiccoughs,SNOMED,symptoms,Alternative diagnoses
4329041,Pain,SNOMED,symptoms,Alternative diagnoses
376961,Disturbance of consciousness,SNOMED,symptoms,Alternative diagnoses
4272240,Malaise,SNOMED,symptoms,Alternative diagnoses
433596,Abnormal sputum,SNOMED,symptoms,Alternative diagnoses
314754,Wheezing,SNOMED,symptoms,Alternative diagnoses
4047791,Abnormal body temperature,SNOMED,symptoms,Alternative diagnoses
377091,Seizure,SNOMED,symptoms,Alternative diagnoses
